t,P,Q
17.8,8.63567E-05,-0.000417528
17.9,8.61135E-05,-0.000419405
18,7.93366E-05,-0.000416341
18.1,7.1523E-05,-0.000420352
18.2,6.89037E-05,-0.000424335
18.3,6.49938E-05,-0.000421813
18.4,6.0096E-05,-0.000418252
18.5,6.37317E-05,-0.000420997
18.6,6.61087E-05,-0.000418598
18.7,6.51928E-05,-0.000417643
18.8,6.60631E-05,-0.000415618
18.9,6.68989E-05,-0.000415428
19,7.13666E-05,-0.000415222
19.1,7.33982E-05,-0.000414448
19.2,7.73513E-05,-0.000415594
19.3,8.66029E-05,-0.00041889
19.4,8.92596E-05,-0.000424259
19.5,9.15796E-05,-0.000423461
19.6,0.000104088,-0.000428275
19.7,0.000105893,-0.000428606
19.8,0.000107652,-0.000427728
19.9,0.000111136,-0.000423832
20,0.000114349,-0.00042027
20.1,0.00011786,-0.000429544
20.2,0.000122299,-0.000432976
20.3,0.000126296,-0.000437286
20.4,0.000124137,-0.000437131
20.5,0.000125671,-0.000442083
20.6,0.000127611,-0.000443556
20.7,0.000116257,-0.000436415
20.8,0.000109283,-0.00043026
20.9,9.85492E-05,-0.000426561
21,9.02107E-05,-0.000418965
21.1,8.2582E-05,-0.000418301
21.2,7.49627E-05,-0.000416884
21.3,6.77086E-05,-0.000417887
21.4,6.5857E-05,-0.000421047
21.5,6.2176E-05,-0.000418989
21.6,6.50902E-05,-0.000422741
21.7,6.45773E-05,-0.000419725
21.8,6.86695E-05,-0.000417346
21.9,6.53349E-05,-0.000414321
22,6.58385E-05,-0.000412516
22.1,7.21542E-05,-0.000417069
22.2,7.26461E-05,-0.0004201
22.3,8.17788E-05,-0.000419821
22.4,9.00514E-05,-0.000423609
22.5,9.57092E-05,-0.000426718
22.6,0.000102604,-0.000433416
22.7,0.000105246,-0.000429097
22.8,0.000111549,-0.000425015
22.9,0.000111502,-0.000424545
23,0.000113635,-0.000426024
23.1,0.000114408,-0.000430151
23.2,0.000120113,-0.000429514
23.3,0.000126867,-0.000433348
23.4,0.000126145,-0.000433932
23.5,0.000124632,-0.000437853
23.6,0.000179005,-0.000436693
23.7,0.000157865,-0.000433388
23.8,0.000220827,-0.000429936
23.9,0.000151769,-0.00041467
24,0.000157553,-0.000416066
24.1,0.000151483,-0.000417144
24.2,0.000152408,-0.000416484
24.3,0.000151622,-0.000421745
24.4,0.000156711,-0.00041921
24.5,0.000161355,-0.000422123
24.6,0.000134922,-0.000414184
24.7,0.000138518,-0.000414094
24.8,0.000139284,-0.000412965
24.9,0.000151612,-0.000415447
25,0.000158074,-0.00041885
25.1,0.000164935,-0.00042007
25.2,0.000171922,-0.000424588
25.3,0.000172609,-0.000431914
25.4,0.000181621,-0.000429796
25.5,0.000173606,-0.000423373
25.6,0.000176035,-0.00041819
25.7,0.000184877,-0.000424382
25.8,0.000194862,-0.000430984
25.9,0.000190985,-0.000432441
26,0.000203385,-0.000435657
26.1,0.00019309,-0.000432147
26.2,0.000197829,-0.00042726
26.3,0.000186291,-0.000421461
26.4,0.000196883,-0.000419601
26.5,0.00018535,-0.000415098
26.6,0.000186534,-0.000410744
26.7,0.000178944,-0.000411499
26.8,0.000165844,-0.000413631
26.9,0.000169799,-0.000414222
27,0.00017283,-0.000416655
27.1,0.000174171,-0.000415099
27.2,0.000187545,-0.000412482
27.3,0.000174916,-0.000412411
27.4,0.000182241,-0.000413654
27.5,0.000188899,-0.000414903
27.6,0.000204118,-0.000416499
27.7,0.000204502,-0.000419574
27.8,0.000202061,-0.000424125
27.9,0.000202952,-0.000431364
28,0.000221648,-0.000430659
28.1,0.000219551,-0.00042177
28.2,0.000234513,-0.000419337
28.3,0.000230184,-0.000418744
28.4,0.000238023,-0.000417002
28.5,0.000239069,-0.000421508
28.6,0.000168945,-0.000435031
28.7,0.000165748,-0.000439839
28.8,0.000166971,-0.000439038
28.9,0.000164662,-0.000429954
29,0.000162223,-0.000416228
29.1,0.000157773,-0.00040987
29.2,0.000154588,-0.000406558
29.3,0.000157174,-0.000407779
29.4,0.000158332,-0.000412641
29.5,0.00015066,-0.000410956
29.6,0.00015264,-0.000414525
29.7,0.00016108,-0.00041012
29.8,0.000165981,-0.000407166
29.9,0.000165511,-0.000405416
30,0.000179105,-0.000410103
30.1,0.000187053,-0.000416977
30.2,0.000195261,-0.000420814
30.3,0.000199251,-0.000422122
30.4,0.000207463,-0.000423354
30.5,0.000212751,-0.00041773
30.6,0.000216214,-0.000415336
30.7,0.000208069,-0.000412607
30.8,0.000219932,-0.000415084
30.9,0.000219481,-0.000420234
31,0.000220656,-0.000418638
31.1,0.00022718,-0.000421208
31.2,0.000223449,-0.000413304
31.3,0.000213986,-0.000405243
31.4,0.000204482,-0.000396601
31.5,0.000201122,-0.000393541
31.6,0.00020412,-0.000397906
31.7,0.000203063,-0.000402626
31.8,0.000215288,-0.000405038
31.9,0.000222079,-0.000409293
32,0.000229074,-0.000406184
32.1,0.000229382,-0.000402916
32.2,0.000232994,-0.000401708
32.3,0.000243216,-0.000399664
32.4,0.000252859,-0.000406055
32.5,0.000260584,-0.000405075
32.6,0.000273826,-0.000414694
32.7,0.000271512,-0.000420945
32.8,0.000278327,-0.000414731
32.9,0.000283533,-0.000406082
33,0.000293891,-0.000402455
33.1,0.000300011,-0.000401901
33.2,0.000306609,-0.000407169
33.3,0.000297896,-0.000406685
33.4,0.00030198,-0.00040633
33.5,0.000285649,-0.000400703
33.6,0.000276002,-0.000395134
33.7,0.000261358,-0.000386978
33.8,0.00026153,-0.00038692
33.9,0.000262825,-0.000391255
34,0.00047252,-0.000404665
34.1,0.000267486,-0.000399528
34.2,0.000286807,-0.000403024
34.3,0.000284761,-0.000403492
34.4,0.000306139,-0.000393594
34.5,0.000306773,-0.000398167
34.6,0.000318435,-0.000400954
34.7,0.000320644,-0.000410672
34.8,0.000302029,-0.000413107
34.9,0.000295824,-0.000416409
35,0.000302449,-0.000412313
35.1,0.000303462,-0.000402891
35.2,0.000308232,-0.000395332
35.3,0.0003016,-0.000391659
35.4,0.000307126,-0.000393109
35.5,0.000298465,-0.000396572
35.6,0.000294513,-0.0004023
35.7,0.000289879,-0.000402371
35.8,0.000280612,-0.000398605
35.9,0.00027822,-0.000392393
36,0.000278987,-0.000387692
36.1,0.000272517,-0.000385051
36.2,0.00028156,-0.000388568
36.3,0.000280906,-0.000389684
36.4,0.000287915,-0.000403859
36.5,0.000290638,-0.000402349
36.6,0.000303521,-0.000405051
36.7,0.000314514,-0.000405613
36.8,0.000322215,-0.000399785
36.9,0.000323819,-0.000399287
37,0.000318216,-0.000398857
37.1,0.000308182,-0.000403685
37.2,0.000318088,-0.000404537
37.3,0.000313329,-0.00041338
37.4,0.000324008,-0.000413374
37.5,0.000326879,-0.000410388
37.6,0.00033511,-0.000401523
37.7,0.000332618,-0.000396825
37.8,0.000335046,-0.000395382
37.9,0.000308134,-0.000389984
38,0.000314489,-0.000392027
38.1,0.000309357,-0.000400728
38.2,0.000296502,-0.000400454
38.3,0.000290308,-0.000394639
38.4,0.000292882,-0.000385984
38.5,0.000281786,-0.000381604
38.6,0.000287954,-0.000378265
38.7,0.00028607,-0.000384787
38.8,0.000299892,-0.000393116
38.9,0.000295316,-0.000396822
39,0.000303224,-0.000396741
39.1,0.000306017,-0.000395435
39.2,0.000316405,-0.000393265
39.3,0.000323459,-0.000389946
39.4,0.000327645,-0.00039079
39.5,0.000332601,-0.000396027
39.6,0.000347094,-0.00039912
39.7,0.000340539,-0.000397507
39.8,0.000352955,-0.000394103
39.9,0.000349486,-0.000391329
40,0.000353782,-0.000388446
40.1,0.000347951,-0.000380063
40.2,0.000342775,-0.000376301
40.3,0.000335927,-0.000379356
40.4,0.000333201,-0.000379282
40.5,0.000327802,-0.000384327
40.6,0.000337521,-0.000386929
40.7,0.000326163,-0.000386969
40.8,0.000332358,-0.000382818
40.9,0.0003311,-0.000380336
41,0.000334238,-0.000377671
41.1,0.000336093,-0.000377198
41.2,0.000334558,-0.000375538
41.3,0.000337755,-0.000380021
41.4,0.000338104,-0.000386878
41.5,0.000338512,-0.000393565
41.6,0.000349686,-0.00039096
41.7,0.000359478,-0.000390814
41.8,0.00036254,-0.000390505
41.9,0.000367281,-0.000386331
42,0.000355723,-0.000385221
42.1,0.000352019,-0.000384649
42.2,0.000358098,-0.000394823
42.3,0.000357189,-0.000390821
42.4,0.000372766,-0.000388952
42.5,0.000368765,-0.00039356
42.6,0.000373046,-0.000383647
42.7,0.000371023,-0.000382218
42.8,0.000365266,-0.000378344
42.9,0.000360984,-0.000374011
43,0.000356728,-0.000378182
43.1,0.000347839,-0.000377173
43.2,0.000350192,-0.000381343
43.3,0.000345688,-0.000384829
43.4,0.000354386,-0.000381513
43.5,0.000356503,-0.000381484
43.6,0.000350635,-0.000374494
43.7,0.000351814,-0.000375177
43.8,0.000359128,-0.000378483
43.9,0.000358095,-0.000376817
44,0.000357152,-0.000383889
44.1,0.000357495,-0.000383045
44.2,0.000366587,-0.000389858
44.3,0.000381666,-0.00038557
44.4,0.000393047,-0.000384371
44.5,0.000391255,-0.00038249
44.6,0.000402546,-0.000386159
44.7,0.000406781,-0.000385973
44.8,0.000408619,-0.000381367
44.9,0.000430277,-0.000382934
45,0.000442613,-0.000385518
45.1,0.000439862,-0.000381211
45.2,0.000429336,-0.000374287
45.3,0.000424516,-0.000375687
45.4,0.000419255,-0.000373622
45.5,0.000411978,-0.000367476
45.6,0.000412923,-0.000357524
45.7,0.000413093,-0.000361478
45.8,0.000419755,-0.000366372
45.9,0.000422389,-0.000362177
46,0.00043698,-0.000365092
46.1,0.000446155,-0.000364708
46.2,0.000451556,-0.000371245
46.3,0.000455363,-0.000371636
46.4,0.000460315,-0.00036489
46.5,0.00046408,-0.000363038
46.6,0.0004697,-0.000357516
46.7,0.00046953,-0.000354429
46.8,0.000480259,-0.000350289
46.9,0.000488066,-0.000359438
47,0.000495439,-0.000360993
47.1,0.000503646,-0.000369147
47.2,0.000505641,-0.000371429
47.3,0.000503713,-0.000376115
47.4,0.000496285,-0.000376293
47.5,0.000486898,-0.000369564
47.6,0.000496075,-0.000365432
47.7,0.000499479,-0.000356717
47.8,0.000511485,-0.00035814
47.9,0.000515067,-0.000357723
48,0.000530708,-0.000361222
48.1,0.000525738,-0.000362347
48.2,0.000524559,-0.000361955
48.3,0.000516991,-0.000368608
48.4,0.000518572,-0.000370732
48.5,0.000506408,-0.000364946
48.6,0.000500658,-0.00035717
48.7,0.000494521,-0.000357348
48.8,0.000493382,-0.000351269
48.9,0.000490187,-0.000346283
49,0.000496507,-0.000351587
49.1,0.000503619,-0.000350962
49.2,0.000502798,-0.000355586
49.3,0.00050844,-0.000358048
49.4,0.000523981,-0.000365634
49.5,0.000518222,-0.000360415
49.6,0.000524406,-0.000360187
49.7,0.000532963,-0.000362699
49.8,0.000538671,-0.000354009
49.9,0.000540872,-0.000344876
50,0.000555161,-0.00034431
50.1,0.000564307,-0.000343125
50.2,0.000573782,-0.000346537
50.3,0.000574733,-0.000351149
50.4,0.000588473,-0.000357087
50.5,0.000588898,-0.000357056
50.6,0.00060058,-0.000364096
50.7,0.000610177,-0.00035754
50.8,0.000619044,-0.000348773
50.9,0.000629968,-0.000341496
51,0.00064796,-0.00033619
51.1,0.000652912,-0.000328919
51.2,0.000669156,-0.00032886
51.3,0.000663644,-0.000332944
51.4,0.000678493,-0.000332694
51.5,0.000671943,-0.000330393
51.6,0.000677526,-0.000331018
51.7,0.000678193,-0.000334463
51.8,0.000673558,-0.000327125
51.9,0.000684632,-0.000320263
52,0.000691874,-0.00032423
52.1,0.000692871,-0.000314784
52.2,0.000706312,-0.000307745
52.3,0.000713526,-0.000311056
52.4,0.0007122,-0.000310102
52.5,0.000712654,-0.000308314
52.6,0.000726142,-0.00031389
52.7,0.000731594,-0.000315878
52.8,0.000739646,-0.000318037
52.9,0.000754503,-0.000314713
53,0.000765147,-0.000314859
53.1,0.000762658,-0.000309704
53.2,0.000778904,-0.000313821
53.3,0.000780308,-0.000312571
53.4,0.000785328,-0.000306727
53.5,0.000784075,-0.000309461
53.6,0.000786052,-0.000304073
53.7,0.000790779,-0.000306249
53.8,0.000797164,-0.000306229
53.9,0.000806394,-0.000302354
54,0.000816187,-0.000301508
54.1,0.000820381,-0.00030614
54.2,0.000832386,-0.000297104
54.3,0.00084274,-0.000299808
54.4,0.000844633,-0.000300203
54.5,0.000844836,-0.000298954
54.6,0.000842521,-0.000298538
54.7,0.000835978,-0.000300204
54.8,0.000837372,-0.000297746
54.9,0.000831293,-0.000295402
